Index,  Easting,  Northing,  Elevation,  X,  Y,  Deformation (mm),  Range (m)
12858, 12.5908923897875, -22.1873476595455, -7.43645504847083, 187, 7, -1.735508, 26.57273
12859, 12.3995532124844, -22.2948435174485, -7.43645504847083, 188, 7, -1.518488, 26.57273
12860, 12.2072963505628, -22.4006893453367, -7.43645504847083, 189, 7, -1.429201, 26.57273
12861, 12.3224006428443, -23.0823185178488, -7.6272632687998, 190, 7, -3.383875, 27.25454
12862, 11.5167992651346, -22.0273246758123, -7.24564576058772, 191, 7, -4.173021, 25.89091
12863, 12.2217322078184, -23.8735710213321, -7.8180725566829, 192, 7, 3.451193, 27.93636
12864, 16.1709653874173, 9.81484734415529, -5.69304680572952, 1, 6, -2.871591, 19.75455
12865, 12.8886430861195, 7.67172505553816, -4.51409053013791, 2, 6, -2.910182, 15.66364
12866, 11.8264080906057, 6.90235956599103, -4.12110537977933, 3, 6, -2.270791, 14.3
12867, 14.1521032782998, 8.09731749972172, -4.90707540565787, 4, 6, 0.02853203, 17.02727
12868, 14.2212391644441, 7.97527018467983, -4.90707540565787, 5, 6, -2.489582, 17.02727
12869, 14.8615072785385, 8.16707415889505, -5.1035685305144, 6, 6, -2.553445, 17.70909
12870, 15.5060856536232, 8.34842891353102, -5.30006165537094, 7, 6, -1.546688, 18.39091
12871, 16.1548384608487, 8.51927314454122, -5.49655368087299, 8, 6, -1.934811, 19.07273
12872, 17.9678528244524, 9.27869273515137, -6.0860319560881, 9, 6, -2.030989, 21.11818
12873, 18.0470106414419, 9.12377558372719, -6.0860319560881, 10, 6, -1.170299, 21.11818
12874, 18.1248328083645, 8.96818318631849, -6.0860319560881, 11, 6, 0.2604389, 21.11818
12875, 19.3766024895127, 9.38092776426867, -6.47901710644669, 12, 6, 0.4435555, 22.48182
12876, 20.0466562477935, 9.49332129910708, -6.67550913194873, 13, 6, -14.22904, 23.16364
12877, 20.7200375001846, 9.59486129251049, -6.87200225680527, 14, 6, -6.225793, 23.84546
12878, 20.8018134072925, 9.41625595445229, -6.87200225680527, 15, 6, -4.271546, 23.84546
12879, 20.8820497827838, 9.23695372408629, -6.87200225680527, 16, 6, -2.505109, 23.84546
12880, 21.5600737852198, 9.31593489382146, -7.06849428230731, 17, 6, -2.095181, 24.52727
12881, 22.2409611847289, 9.38391613366109, -7.26498740716385, 18, 6, -2.747831, 25.20909
12882, 22.3208660920002, 9.19223440340811, -7.26498740716385, 19, 6, -2.567767, 25.20909
12883, 23.0049354093728, 9.24328684297245, -7.46147943266589, 20, 6, -2.032636, 25.89091
12884, 23.0836022406902, 9.04503800127365, -7.46147943266589, 21, 6, -2.114031, 25.89091
12885, 23.1605606663615, 8.84611974091871, -7.46147943266589, 22, 6, -2.307224, 25.89091
12886, 22.6239088610173, 8.41884696811791, -7.26498740716385, 23, 6, -1.890389, 25.20909
12887, 22.6954973029958, 8.22390652876812, -7.26498740716385, 24, 6, -2.292003, 25.20909
12888, 22.765406062777, 8.02835744228428, -7.26498740716385, 25, 6, -2.356369, 25.20909
12889, 22.8336299664491, 7.83221418115472, -7.26498740716385, 26, 6, -1.818564, 25.20909
12890, 22.9001639647958, 7.6354912618423, -7.26498740716385, 27, 6, -2.147984, 25.20909
12891, 22.9650031336698, 7.43820324371008, -7.26498740716385, 28, 6, -2.216331, 25.20909
12892, 23.6509718885101, 7.43619079769922, -7.46147943266589, 29, 6, -1.971125, 25.89091
12893, 23.7140687324333, 7.2324511062511, -7.46147943266589, 30, 6, -2.117398, 25.89091
12894, 23.1493043056056, 6.84309481087882, -7.26498740716385, 31, 6, -2.359478, 25.20909
12895, 23.8349926819555, 6.82338103157136, -7.46147943266589, 32, 6, -2.096754, 25.89091
12896, 24.5220122056104, 6.79236370645742, -7.65797255752243, 33, 6, -2.744424, 26.57273
12897, 25.2102119779798, 6.75001695354275, -7.85446458302448, 34, 6, -2.302845, 27.25454
12898, 25.2673481081268, 6.53288882735152, -7.85446458302448, 35, 6, -2.312012, 27.25454
12899, 24.6891284174955, 6.15729042008919, -7.65797255752243, 36, 6, -2.285138, 26.57273
12900, 24.7411847239854, 5.94466700383953, -7.65797255752243, 37, 6, -2.344832, 26.57273
12901, 25.4275201350102, 5.87866793001965, -7.85446458302448, 38, 6, -2.327198, 27.25454
12902, 25.4771521846974, 5.65970258985062, -7.85446458302448, 39, 6, -2.236135, 27.25454
12903, 25.524898683326, 5.44031837797522, -7.85446458302448, 40, 6, -2.415601, 27.25454
12904, 25.5707560972021, 5.22053153090723, -7.85446458302448, 41, 6, -2.575211, 27.25454
12905, 26.2555179352466, 5.12545099572994, -8.05095770788101, 42, 6, -2.447191, 27.93636
12906, 26.2986395724775, 4.89939043092162, -8.05095770788101, 43, 6, -2.497822, 27.93636
12907, 26.3398148607866, 4.67296726472261, -8.05095770788101, 44, 6, -2.732366, 27.93636
12908, 25.7352291298588, 4.33768353864847, -7.85446458302448, 45, 6, -2.775457, 27.25454
12909, 27.7057533962763, 4.4250438464783, -8.44394285823959, 46, 6, -1.642432, 29.3
12910, 27.7427959071809, 4.18653311834991, -8.44394285823959, 47, 6, -3.283689, 29.3
12911, 25.8385962122227, 3.67211963714446, -7.85446458302448, 48, 6, -2.909495, 27.25454
12912, 25.8692305624484, 3.44969954556608, -7.85446458302448, 49, 6, -2.354867, 27.25454
12913, 26.5458327219065, 3.30775377835792, -8.05095770788101, 50, 6, -2.451159, 27.93636
12914, 26.5733063353991, 3.0792629577095, -8.05095770788101, 51, 6, -2.471573, 27.93636
12915, 26.5988132720227, 2.85054424237775, -8.05095770788101, 52, 6, -2.498259, 27.93636
12916, 26.6223516440219, 2.62161455971831, -8.05095770788101, 53, 6, -2.379776, 27.93636
12917, 25.9936434028283, 2.33409928974664, -7.85446458302448, 54, 6, -2.451848, 27.25454
12918, 26.663515871717, 2.1631900786529, -8.05095770788101, 55, 6, -2.694284, 27.93636
12919, 26.6811386808692, 1.93372920800932, -8.05095770788101, 56, 6, -2.5198, 27.93636
12920, 26.0452202414927, 1.66253403572061, -7.85446458302448, 57, 6, -2.138231, 27.25454
12921, 389.166074145874, 21.4816434141535, -117.300851494656, 58, 6, -2.678574, 407.0273
12922, 389.988664750484, 18.1633066648845, -117.497345718867, 59, 6, -2.702454, 407.7091
